price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
847000,3,52.96,Primary,Apartment building,Brick,2025.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,0,Yes,Yes,No_data,Yes,No_data,No_data,0.05664652567975831
849000,3,62.0,Secondary,Apartment building,Brick,2000.0,Other/ no data,Separate kitchen,3.0,4.0,Prądnik Biały,3.6,5,Yes,Yes,No_data,No_data,No_data,No_data,0.04838709677419355
1400000,3,54.54,Secondary,Tenement,No data,2024.0,Central heating,Kitchenette,7.0,4.0,Prądnik Czerwony,2.7,2,Yes,Yes,Yes,Yes,No_data,No_data,0.05500550055005501
1012000,3,56.94,Primary,Apartment building,"Concrete, reinforced concrete",2024.0,Central city heating,Kitchenette,5.0,3.7804203539823007,Krowodrza,1.6,7,Yes,Yes,Yes,Yes,No_data,Yes,0.05268703898840885
599000,2,32.0,Secondary,Apartment building,No data,2018.0,Central city heating,Kitchenette,8.0,3.7804203539823007,Czyżyny,5.2,4,Yes,No_data,No_data,Yes,No_data,No_data,0.0625
992000,4,73.0,Primary,Apartment building,No data,2025.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,1,Yes,No_data,No_data,No_data,No_data,No_data,0.0547945205479452
858389,3,57.61,Primary,Apartment building,"Mixed construction, other",2024.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,No_data,No_data,No_data,0.05207429265752474
595000,1,34.0,Secondary,Apartment building,Brick,2008.0,Central city heating,Kitchenette,9.0,4.0,Dębniki,4.5,3,Yes,No_data,No_data,Yes,No_data,Yes,0.029411764705882353
700000,2,43.42,Secondary,Apartment building,Brick,2017.0,Central city heating,Kitchenette,8.0,4.0,Czyżyny,5.2,3,Yes,Yes,No_data,Yes,No_data,Yes,0.046061722708429294
435000,1,28.82,Secondary,Apartment building,"Mixed construction, other",2004.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,1,Yes,No_data,Yes,No_data,No_data,No_data,0.03469812630117974
1269000,4,70.0,Primary,Multi-family building,Brick,2024.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Bronowice,5.5,0,Yes,No_data,No_data,No_data,No_data,No_data,0.05714285714285714
355000,1,22.66,Secondary,Apartment building,Large slab,1970.0,Central city heating,Kitchenette,3.0,4.0,Nowa Huta,12.9,4,Yes,No_data,No_data,No_data,No_data,No_data,0.0441306266548985
1760000,4,108.2,Secondary,Tenement,Brick,1914.0,Gas heating,Separate kitchen,1.0,4.0,Stare Miasto,0.4,1,No_data,No_data,No_data,No_data,No_data,No_data,0.03696857670979667
1120000,3,70.85,Primary,Apartment building,Brick,2024.0,Heat pump,Kitchenette,5.0,4.0,Zwierzyniec,5.4,0,Yes,Yes,No_data,No_data,No_data,No_data,0.04234297812279464
510000,2,34.0,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Podgórze Duchackie,4.0,1,Yes,No_data,Yes,No_data,No_data,No_data,0.058823529411764705
680450,3,50.83,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,0,Yes,Yes,Yes,Yes,No_data,No_data,0.05902026362384419
739000,3,43.56,Secondary,Other/ No data,No data,1975.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,2,No_data,No_data,No_data,No_data,No_data,No_data,0.06887052341597796
530000,2,40.0,Secondary,Other/ No data,No data,1961.0,Central city heating,Separate kitchen,2.0,3.7804203539823007,Nowa Huta,12.9,0,Yes,No_data,No_data,No_data,No_data,No_data,0.05
593028,2,38.76,Primary,Apartment building,No data,2026.0,Central city heating,Kitchenette,5.0,3.7804203539823007,Prądnik Czerwony,2.7,1,Yes,Yes,No_data,No_data,No_data,No_data,0.05159958720330238
750000,3,45.5,Secondary,Apartment building,"Mixed construction, other",1974.0,Central city heating,Separate kitchen,8.0,2.0,Bronowice,5.5,4,Yes,No_data,Yes,Yes,No_data,No_data,0.06593406593406594
1137500,3,60.0,Secondary,Apartment building,No data,2021.0,Central city heating,Kitchenette,7.0,3.7804203539823007,Bronowice,5.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.05
1897000,5,115.0,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,Yes,Yes,Yes,No_data,No_data,No_data,0.043478260869565216
995000,2,45.15,Secondary,Apartment building,Brick,2016.0,Central city heating,Kitchenette,10.0,4.0,Stare Miasto,0.4,0,Yes,Yes,No_data,Yes,No_data,No_data,0.044296788482835
