price,district,district_2,rooms,area,floor,levels,bathrooms,bathroom_with_toilet,market,type_of_contract,building_type,building_material,year_built,heating,kitchen_type,balcony,balcony_area,terrace,loggia,garden,windows,property_condition,form_of_ownership,advantages,link
847 000,"Kraków-Podgórze, ","Zakrzówek, ",3 pokoje,"52,96",parter/6,,,,Pierwotny,,Apartamentowiec,Pustak,2025,Co Miejskie,,,,Tak,,,,,,"['winda', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-kapelanka/ob/40814263
,"Dębniki, ",ul. Fedorowicza 21,2 pokoje,"28,30",piętro 5/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'klimatyzacja', 'miejsce parkingowe', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-fedorowicza-21/ob/41025813
849 000,"Prądnik Biały, ",Andrzeja Frycza-Modrzewskiego,3 pokoje,62,piętro 5/5,,1,Tak,Wtórny,Na wyłączność,Blok,Cegła,2000,,Osobna,Tak,,Nie,,,,Dobry,Własność,"['balkon', 'dwustronne', 'kuchnia osobna', 'miejsce parkingowe', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-andrzeja-frycza-modrzewskiego/ob/40505385
1 400 000,"Prądnik Czerwony, ",Mogilska,3 pokoje,"54,54",piętro 2/4,,1,,Wtórny,Na wyłączność,Kamienica,,2024,Centralne,Aneks kuchenny,Tak,,,,,,Do zamieszkania,Własność,"['komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny', 'siłownia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony-mogilska/ob/41355681
1 012 000,"Krowodrza, ",Józefa Wybickiego,3 pokoje,"56,94",piętro 7/7,,1,,Pierwotny,,WIEŻOWIEC,BETON,2024,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO WYKOŃCZENIA,,"['komórka lokatorska', 'winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta', 'miejsce parkingowe', 'ogrzewana podłoga', 'osiedle zamknięte', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-jozefa-wybickiego/ob/41099251
599 000,"Kraków, ","Czyżyny, ",2 pokoje,32,piętro 4/16,,1,Tak,Wtórny,,Apartamentowiec,-,2018,C.O. miejskie,Aneks kuchenny,Tak,,,,,PCV,Bardzo dobry,,"['winda', 'balkon', 'kuchnia otwarta', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-orlinskiego/ob/41157401
992 000,"Kraków-Podgórze, ","Dębniki, ",4 pokoje,73,piętro 1/3,1,,,Pierwotny,,Blok Mieszkalny,,2025,Co Miejskie,,Tak,,Tak,,,,,,[],https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-jana-kantego-federowicza/ob/40865355
858 389,"Ruczaj, ",Kobierzyńska,3 pokoje,"57,61",piętro 1/4,,1,,Pierwotny,,APARTAMENTOWIEC,INNY,2024,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['komórka lokatorska', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-kobierzynska/ob/40659463
595 000,"Dębniki, ","Pychowice, ",1 pokój,34,piętro 3/3,1,1,Tak,Wtórny,Na wyłączność,Blok,Pustak,2008,Miejskie,Aneks,Tak,,Nie,,,,Wysoki standard,Własność,"['winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-zakrzowiecka/ob/40974849
700 000,"Kraków, ","Czyżyny, Czyżyny, ",2 pokoje,"43,42",piętro 3/5,,1,Tak,Wtórny,,Blok,"Prefabrykat, pustak",2017,Miejskie,Aneks kuchenny - połączony z salonem,Tak,6 m²,,,,PCV,Bardzo dobry,Własność,"['winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta', 'miejsce parkingowe', 'osiedle zamknięte', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-soltysowska/ob/41357047
